id,timestamp,source,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,image_width,image_height,model_used
226,2025-11-09 22:55:15,live_feed,Class_8,0.16712674498558044,0.0,350.0,102.0,384.0,1920,1080,YOLOv8
218,2025-11-09 22:55:14,live_feed,Class_41,0.7653617262840271,747.0,3.0,1208.0,562.0,1920,1080,YOLOv8
219,2025-11-09 22:55:14,live_feed,Class_40,0.6748455166816711,1420.0,5.0,1919.0,529.0,1920,1080,YOLOv8
220,2025-11-09 22:55:14,live_feed,Class_60,0.304477334022522,34.0,0.0,1915.0,1066.0,1920,1080,YOLOv8
221,2025-11-09 22:55:14,live_feed,SafetySwitchPanel,0.6231746673583984,879.0,231.0,1410.0,634.0,1920,1080,YOLOv8
222,2025-11-09 22:55:14,live_feed,Class_8,0.17034539580345154,0.0,350.0,102.0,384.0,1920,1080,YOLOv8
212,2025-11-09 22:55:13,live_feed,Class_41,0.7673321962356567,747.0,3.0,1208.0,562.0,1920,1080,YOLOv8
213,2025-11-09 22:55:13,live_feed,Class_40,0.6747078895568848,1420.0,5.0,1919.0,529.0,1920,1080,YOLOv8
214,2025-11-09 22:55:13,live_feed,Class_60,0.3049200177192688,34.0,0.0,1915.0,1066.0,1920,1080,YOLOv8
215,2025-11-09 22:55:13,live_feed,Class_41,0.7653675079345703,747.0,3.0,1208.0,562.0,1920,1080,YOLOv8
216,2025-11-09 22:55:13,live_feed,Class_40,0.6746019124984741,1420.0,5.0,1919.0,529.0,1920,1080,YOLOv8
217,2025-11-09 22:55:13,live_feed,Class_60,0.3045251965522766,34.0,0.0,1915.0,1066.0,1920,1080,YOLOv8
206,2025-11-09 22:55:12,live_feed,Class_41,0.7685452699661255,747.0,3.0,1208.0,562.0,1920,1080,YOLOv8
207,2025-11-09 22:55:12,live_feed,Class_40,0.6777677536010742,1420.0,5.0,1919.0,529.0,1920,1080,YOLOv8
208,2025-11-09 22:55:12,live_feed,Class_60,0.30552512407302856,35.0,0.0,1915.0,1066.0,1920,1080,YOLOv8
209,2025-11-09 22:55:12,live_feed,Class_41,0.7677356004714966,747.0,3.0,1208.0,562.0,1920,1080,YOLOv8
210,2025-11-09 22:55:12,live_feed,Class_40,0.6771611571311951,1420.0,5.0,1919.0,529.0,1920,1080,YOLOv8
211,2025-11-09 22:55:12,live_feed,Class_60,0.3047487437725067,34.0,0.0,1915.0,1066.0,1920,1080,YOLOv8
203,2025-11-09 22:55:11,live_feed,Class_41,0.7686976194381714,747.0,3.0,1208.0,562.0,1920,1080,YOLOv8
204,2025-11-09 22:55:11,live_feed,Class_40,0.673865020275116,1420.0,5.0,1919.0,529.0,1920,1080,YOLOv8
205,2025-11-09 22:55:11,live_feed,Class_60,0.3044682443141937,34.0,0.0,1915.0,1066.0,1920,1080,YOLOv8
199,2025-11-09 22:55:05,live_feed,SafetySwitchPanel,0.27913540601730347,921.0,519.0,1561.0,950.0,1920,1080,YOLOv8
200,2025-11-09 22:55:05,live_feed,SafetySwitchPanel,0.24133586883544922,4.0,7.0,1904.0,1016.0,1920,1080,YOLOv8
201,2025-11-09 22:55:05,live_feed,SafetySwitchPanel,0.27913540601730347,921.0,519.0,1561.0,950.0,1920,1080,YOLOv8
202,2025-11-09 22:55:05,live_feed,SafetySwitchPanel,0.24133586883544922,4.0,7.0,1904.0,1016.0,1920,1080,YOLOv8
195,2025-11-09 22:55:04,live_feed,SafetySwitchPanel,0.27913540601730347,921.0,519.0,1561.0,950.0,1920,1080,YOLOv8
196,2025-11-09 22:55:04,live_feed,SafetySwitchPanel,0.24133586883544922,4.0,7.0,1904.0,1016.0,1920,1080,YOLOv8
197,2025-11-09 22:55:04,live_feed,SafetySwitchPanel,0.27913540601730347,921.0,519.0,1561.0,950.0,1920,1080,YOLOv8
198,2025-11-09 22:55:04,live_feed,SafetySwitchPanel,0.24133586883544922,4.0,7.0,1904.0,1016.0,1920,1080,YOLOv8
188,2025-11-09 22:55:03,live_feed,Class_39,0.575002908706665,768.0,7.0,1049.0,622.0,1920,1080,YOLOv8
189,2025-11-09 22:55:03,live_feed,Class_39,0.47998732328414917,1055.0,2.0,1293.0,533.0,1920,1080,YOLOv8
190,2025-11-09 22:55:03,live_feed,Class_60,0.3101271986961365,5.0,0.0,1851.0,1066.0,1920,1080,YOLOv8
191,2025-11-09 22:55:03,live_feed,SafetySwitchPanel,0.2752537429332733,921.0,519.0,1561.0,950.0,1920,1080,YOLOv8
192,2025-11-09 22:55:03,live_feed,SafetySwitchPanel,0.23830048739910126,4.0,7.0,1904.0,1016.0,1920,1080,YOLOv8
193,2025-11-09 22:55:03,live_feed,SafetySwitchPanel,0.2788858413696289,921.0,519.0,1561.0,950.0,1920,1080,YOLOv8
194,2025-11-09 22:55:03,live_feed,SafetySwitchPanel,0.24119989573955536,4.0,7.0,1904.0,1016.0,1920,1080,YOLOv8
183,2025-11-09 22:55:02,live_feed,Class_39,0.4806577265262604,1055.0,2.0,1293.0,533.0,1920,1080,YOLOv8
184,2025-11-09 22:55:02,live_feed,Class_60,0.3103780150413513,5.0,0.0,1850.0,1066.0,1920,1080,YOLOv8
185,2025-11-09 22:55:02,live_feed,Class_39,0.5750057101249695,768.0,7.0,1049.0,622.0,1920,1080,YOLOv8
186,2025-11-09 22:55:02,live_feed,Class_39,0.47998183965682983,1055.0,2.0,1293.0,533.0,1920,1080,YOLOv8
187,2025-11-09 22:55:02,live_feed,Class_60,0.31012749671936035,5.0,0.0,1851.0,1066.0,1920,1080,YOLOv8
179,2025-11-09 22:55:01,live_feed,Class_39,0.5767226219177246,767.0,7.0,1049.0,622.0,1920,1080,YOLOv8
180,2025-11-09 22:55:01,live_feed,Class_39,0.48122861981391907,1055.0,2.0,1293.0,533.0,1920,1080,YOLOv8
181,2025-11-09 22:55:01,live_feed,Class_60,0.3106204569339752,5.0,0.0,1850.0,1066.0,1920,1080,YOLOv8
182,2025-11-09 22:55:01,live_feed,Class_39,0.5766018033027649,767.0,7.0,1049.0,622.0,1920,1080,YOLOv8
172,2025-11-09 22:55:00,live_feed,SafetySwitchPanel,0.48597630858421326,789.0,8.0,1432.0,539.0,1920,1080,YOLOv8
173,2025-11-09 22:55:00,live_feed,Class_39,0.5764052867889404,767.0,7.0,1049.0,622.0,1920,1080,YOLOv8
174,2025-11-09 22:55:00,live_feed,Class_39,0.475699782371521,1055.0,2.0,1293.0,533.0,1920,1080,YOLOv8
175,2025-11-09 22:55:00,live_feed,Class_60,0.31023359298706055,5.0,0.0,1850.0,1066.0,1920,1080,YOLOv8
176,2025-11-09 22:55:00,live_feed,Class_39,0.5768690705299377,767.0,7.0,1049.0,622.0,1920,1080,YOLOv8
177,2025-11-09 22:55:00,live_feed,Class_39,0.47831276059150696,1055.0,2.0,1293.0,533.0,1920,1080,YOLOv8
178,2025-11-09 22:55:00,live_feed,Class_60,0.3111933767795563,5.0,0.0,1850.0,1066.0,1920,1080,YOLOv8
170,2025-11-09 22:54:59,live_feed,SafetySwitchPanel,0.48597630858421326,789.0,8.0,1432.0,539.0,1920,1080,YOLOv8
171,2025-11-09 22:54:59,live_feed,SafetySwitchPanel,0.48597630858421326,789.0,8.0,1432.0,539.0,1920,1080,YOLOv8
168,2025-11-09 22:54:58,live_feed,SafetySwitchPanel,0.4866672158241272,789.0,8.0,1432.0,539.0,1920,1080,YOLOv8
169,2025-11-09 22:54:58,live_feed,SafetySwitchPanel,0.4859832227230072,789.0,8.0,1432.0,539.0,1920,1080,YOLOv8
167,2025-11-09 22:54:57,live_feed,SafetySwitchPanel,0.4877517819404602,789.0,8.0,1432.0,539.0,1920,1080,YOLOv8
166,2025-11-09 22:54:54,live_feed,SafetySwitchPanel,0.24127112329006195,837.0,109.0,1249.0,376.0,1920,1080,YOLOv8
164,2025-11-09 22:54:53,live_feed,OxygenTank,0.7720109820365906,1258.0,9.0,1918.0,1063.0,1920,1080,YOLOv8
165,2025-11-09 22:54:53,live_feed,Class_39,0.17769518494606018,1080.0,525.0,1493.0,669.0,1920,1080,YOLOv8
160,2025-11-09 22:54:52,live_feed,Class_74,0.2568805515766144,1190.0,492.0,1315.0,623.0,1920,1080,YOLOv8
161,2025-11-09 22:54:52,live_feed,Class_39,0.8490954637527466,969.0,24.0,1091.0,540.0,1920,1080,YOLOv8
162,2025-11-09 22:54:52,live_feed,Class_39,0.8063229918479919,750.0,42.0,873.0,546.0,1920,1080,YOLOv8
163,2025-11-09 22:54:52,live_feed,Class_60,0.30888912081718445,0.0,451.0,1251.0,1065.0,1920,1080,YOLOv8
159,2025-11-09 22:54:51,live_feed,Class_39,0.16669674217700958,178.0,505.0,429.0,1061.0,1920,1080,YOLOv8
153,2025-11-09 22:54:50,live_feed,Class_64,0.3200511038303375,851.0,0.0,1054.0,221.0,1920,1080,YOLOv8
154,2025-11-09 22:54:50,live_feed,Class_73,0.2067030370235443,413.0,1.0,1523.0,509.0,1920,1080,YOLOv8
155,2025-11-09 22:54:50,live_feed,Class_41,0.7199356555938721,1195.0,3.0,1616.0,627.0,1920,1080,YOLOv8
156,2025-11-09 22:54:50,live_feed,Class_41,0.5275142788887024,730.0,2.0,1265.0,788.0,1920,1080,YOLOv8
157,2025-11-09 22:54:50,live_feed,Class_60,0.22096645832061768,200.0,6.0,1888.0,1051.0,1920,1080,YOLOv8
158,2025-11-09 22:54:50,live_feed,Class_41,0.21292340755462646,725.0,7.0,900.0,453.0,1920,1080,YOLOv8
143,2025-11-09 22:54:48,live_feed,Class_39,0.691972017288208,554.0,3.0,872.0,781.0,1920,1080,YOLOv8
144,2025-11-09 22:54:48,live_feed,Class_39,0.5026030540466309,1144.0,3.0,1375.0,689.0,1920,1080,YOLOv8
145,2025-11-09 22:54:48,live_feed,Class_39,0.4368998408317566,829.0,2.0,1197.0,876.0,1920,1080,YOLOv8
146,2025-11-09 22:54:48,live_feed,Class_60,0.2961343824863434,156.0,514.0,1914.0,1061.0,1920,1080,YOLOv8
147,2025-11-09 22:54:48,live_feed,Class_73,0.17625603079795837,0.0,739.0,477.0,1004.0,1920,1080,YOLOv8
148,2025-11-09 22:54:48,live_feed,Class_39,0.6919990181922913,554.0,3.0,872.0,781.0,1920,1080,YOLOv8
149,2025-11-09 22:54:48,live_feed,Class_39,0.5028166770935059,1144.0,3.0,1375.0,689.0,1920,1080,YOLOv8
150,2025-11-09 22:54:48,live_feed,Class_39,0.4360065758228302,829.0,2.0,1197.0,876.0,1920,1080,YOLOv8
151,2025-11-09 22:54:48,live_feed,Class_60,0.29610663652420044,156.0,514.0,1914.0,1061.0,1920,1080,YOLOv8
152,2025-11-09 22:54:48,live_feed,Class_73,0.17616868019104004,0.0,739.0,477.0,1004.0,1920,1080,YOLOv8
133,2025-11-09 22:54:47,live_feed,Class_39,0.6922302842140198,554.0,3.0,872.0,781.0,1920,1080,YOLOv8
134,2025-11-09 22:54:47,live_feed,Class_39,0.5025243759155273,1144.0,3.0,1375.0,689.0,1920,1080,YOLOv8
135,2025-11-09 22:54:47,live_feed,Class_39,0.43666189908981323,829.0,2.0,1197.0,876.0,1920,1080,YOLOv8
136,2025-11-09 22:54:47,live_feed,Class_60,0.2956043779850006,154.0,514.0,1914.0,1061.0,1920,1080,YOLOv8
137,2025-11-09 22:54:47,live_feed,Class_73,0.17597879469394684,0.0,739.0,477.0,1004.0,1920,1080,YOLOv8
